 21  550.766474 2.673E-30 2.299E-04.06750.084 3763.37680.74-.000638       3 0 0 04       1 3 3 02                    Q 36f     566663342910 9 711    73.0   73.0
 21  550.766972 1.282E-30 3.332E-02.07550.102 4762.12870.69-.000078       1 6 6 02       0 7 7 01                    R 14f     466663342910 9 711    31.0   29.0
 21  550.785741 1.104E-26 8.441E-02.06770.084 3253.87130.74-.000702       2 1 1 02       1 2 2 01                    P 35f     566663342910 9 711    69.0   71.0
 21  550.798877 2.400E-29 5.001E-01.07970.109 4593.05970.68-.001156       2 4 4 03       1 5 5 02                    P  9e     466663342910 9 711    17.0   19.0
 21  550.865585 9.171E-30 3.536E-01.06730.083 5019.41930.74-.000685       3 2 2 04       2 3 3 03                    P 37e     466663342910 9 711    73.0   75.0
 21  550.914280 2.680E-30 1.861E-04.06790.085 3707.67310.74-.000627       3 0 0 04       1 3 3 02                    Q 34f     566663342910 9 711    69.0   69.0
 21  550.950826 3.256E-27 5.805E-03.06590.074 3032.60550.74-.000952       1 2 2 02       1 1 1 01                    R 49e     566563342910 9 711   101.0   99.0
 21  550.953175 1.649E-29 1.278E-01.06930.090 4630.99590.73-.000777       1 2 2 12       0 3 3 11                    P 28e     566663342910 9 711    55.0   57.0
 21  550.958121 8.535E-29 4.460E-01.05690.064 4780.87030.64-.000603       2 0 0 03       1 1 1 02                    P 85e     575553342910 9 711   169.0  171.0
 21  550.959369 2.698E-29 1.815E-01.06680.080 4681.54960.75-.000657       3 1 1 03       2 2 2 02                    P 41f     566563342910 9 711    81.0   83.0
 21  550.960702 1.445E-30 1.878E-01.07700.105 5031.78230.68-.001077       1 3 3 12       0 4 4 11                    P 12f     566663342910 9 711    23.0   25.0
 21  551.022525 5.562E-27 4.905E-02.05840.066 3435.86930.68-.000914       1 1 1 02       1 0 0 01                    Q 72e     675553342910 9 711   145.0  145.0
 21  551.051644 2.599E-30 1.484E-04.06830.087 3655.10210.74-.000616       3 0 0 04       1 3 3 02                    Q 32f     566663342910 9 711    65.0   65.0
 21  551.057736 1.901E-27 5.786E-03.06530.072 3154.45330.73-.000992       1 2 2 02       1 1 1 01                    R 52f     565553342910 9 711   107.0  105.0
 21  551.075147 1.571E-30 1.225E-01.06560.073 5235.03580.74-.000764       3 1 1 02       2 2 2 01                    Q 51f     565553342910 9 711   103.0  103.0
 21  551.105041 3.070E-25 1.034E-01.06220.069 2719.90300.72-.000595       1 1 1 02       0 2 2 01                    P 59f     675553342910 9 711   117.0  119.0
 21  551.105292 6.905E-30 2.244E-01.07130.095 4875.20160.71-.000866       3 2 2 03       2 3 3 02                    P 22f     466663342910 9 711    43.0   45.0
