 11  102.664517 2.250E-29 2.930E-02.07800.333 4889.45710.700.004520          1 0 0          1 0 0  9  4  5        8  5  4      534233837294713152    57.0   51.0
 11  102.787715 2.535E-26 2.394E-01.09240.443 3495.93920.730.000810          0 2 0          0 2 0  4  3  1        4  2  2      564223837294783152     9.0    9.0
 11  102.829151 4.667E-28 2.325E-01.07290.371 4387.23480.620.001360          0 0 1          0 0 1  6  4  3        6  3  4      534223837294713152    13.0   13.0
 11  102.892466 7.420E-30 4.164E-01.08820.412 5550.67120.700.003110          0 1 1          0 1 1  5  1  5        4  0  4      534243837294713152    33.0   27.0
 11  102.944802 7.786E-28 9.970E-02.08070.412 4031.85360.69-.000840          1 0 0          1 0 0  4  4  0        4  3  1      534223837294713152     9.0    9.0
 11  103.114375 3.889E-30 4.095E-01.08820.412 5453.57020.700.003110          1 1 0          1 1 0  5  1  5        4  0  4      434243837294713152    11.0    9.0
 11  103.287211 3.759E-30 3.630E-01.07320.265 5830.25920.650.009540          0 0 1          0 0 1 12  4  8       12  3  9      434233837294713152    75.0   75.0
 11  103.325426 5.292E-29 1.380E-02.02410.235 4431.63810.280.004310          0 0 0          0 0 0 15 11  5       14 12  2      434433837260713049    31.0   29.0
 11  103.325502 1.588E-28 1.380E-02.02410.235 4431.63810.280.004310          0 0 0          0 0 0 15 11  4       14 12  3      434433837260713049    93.0   87.0
 11  103.587727 3.987E-27 1.620E-01.07720.371 4095.80320.630.003860          1 0 0          1 0 0  6  2  5        6  1  6      534223837294713152    39.0   39.0
 11  103.672309 1.225E-30 1.714E-01.08200.371 5771.07400.66-.002040          0 1 1          0 1 1  6  1  5        6  0  6      434253837294713152    39.0   39.0
 11  103.688068 5.307E-31 3.967E-05.08040.428 3693.29360.740.000000          0 0 1          1 0 0  1  1  0        1  1  1      5333308387659336 0     3.0    3.0
 11  103.860475 7.266E-25 3.552E-01.07110.390 3058.39840.610.002030          0 1 0          0 1 0 10  3  7       10  2  8      564223837294783152    21.0   21.0
 11  103.894011 5.790E-30 3.002E-01.10080.480 5369.76210.750.005510          0 1 1          0 1 1  2  2  0        1  1  1      534223837294713152    15.0    9.0
 11  104.038610 6.132E-22 4.600E-02.06140.333 1477.29740.56-.007260          0 0 0          0 0 0 10  4  7        9  5  4      764426837260783049    63.0   57.0
 11  104.042357 8.032E-30 5.779E-04.09530.434 3858.87550.73-.004640          0 0 1          1 0 0  3  2  1        3  2  2      534233837294713152     7.0    7.0
 11  104.178726 2.536E-27 1.093E-01.07840.412 4030.83890.67-.001190          1 0 0          1 0 0  4  4  1        4  3  2      534223837294713152    27.0   27.0
 11  104.287183 1.634E-27 8.419E-04.05580.221 3360.60020.530.001930          0 0 0          0 0 0 14  8  7       15  5 10      534426837260713049    87.0   93.0
 11  104.291665 5.780E-20 1.497E-01.08070.376  383.84250.69-.000840          0 0 0          0 0 0  4  4  0        4  3  1      764426837260783049     9.0    9.0
 11  104.294567 3.269E-29 2.697E-03.07620.315 4068.93110.66-.002590          0 2 0          0 2 0  8  2  6        9  1  9      534233837294713152    17.0   19.0
 11  104.444269 3.716E-31 2.748E-01.08260.413 5885.73540.680.000000          0 1 1          0 1 1  6  3  4        6  2  5      4333308387659336 0    13.0   13.0
 11  104.483190 3.156E-23 1.793E-01.08200.410 2041.78050.66-.002040          0 1 0          0 1 0  6  1  5        6  0  6      764223837294783152    13.0   13.0
 11  104.572705 4.589E-19 4.444E-01.09370.453  222.05280.700.003110          0 0 0          0 0 0  5  1  5        4  0  4      766426807270783049    11.0    9.0
 11  104.587314 7.091E-28 2.649E-01.07180.352 4353.23140.610.006360          1 0 0          1 0 0  7  3  5        7  2  6      534223837294713152    15.0   15.0
 11  104.608457 1.589E-29 3.265E-01.07740.298 5246.80010.68-.002770          1 0 0          1 0 0 10  5  5       10  4  6      434233837294713152    21.0   21.0
 11  104.867164 3.697E-26 4.190E-01.07320.265 3738.54320.650.009540          0 1 0          0 1 0 12  4  8       12  3  9      564223837294713152    25.0   25.0
