altitude_km,longueur_onde_um,pression_Pa,temperature_C,temperature_K,epaisseur_couche_m,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,tau_total,emissivite
0,3.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.003406548369e-42,2.278922634402e-25,8.354861269778e-26,3.037702463128e-30,1.086126892189e-17,7.511190364240e+01,4.043035453737e-03,7.736774505008e-09,7.511594668559e+01,1.000000000000e+00
0,3.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.300006159706e-37,2.896647060056e-25,1.800002434954e-26,3.372871373546e-30,1.407178030044e-12,9.547172491797e+01,8.710466190093e-04,8.590421730986e-09,9.547259597318e+01,1.000000000000e+00
0,4.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.800765097136e-32,3.681816634573e-25,3.878025742339e-27,3.745021591699e-30,3.031658798368e-07,1.213504364344e+02,1.876631467658e-04,9.538257259577e-09,1.213506244103e+02,1.000000000000e+00
0,4.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.034065483697e-27,4.679816336808e-25,8.355629900503e-28,4.158233502481e-30,6.531510883325e-02,1.542438994849e+02,4.043407405009e-05,1.059067349037e-08,1.543092550384e+02,1.000000000000e+00
0,4.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.300000000000e-21,5.948335749902e-25,1.801369275146e-28,4.617037708446e-30,1.407171362535e+04,1.960535276339e+02,8.717080522967e-06,1.175920948972e-08,1.426776716172e+04,1.000000000000e+00
0,4.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.034065483696e-27,7.560702338500e-25,3.902331980041e-29,5.126464707727e-30,6.531510883324e-02,2.491961495074e+02,1.888393599619e-06,1.305667751631e-08,2.492614665177e+02,1.000000000000e+00
0,4.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.800765097574e-32,9.610119919887e-25,8.787862720900e-30,5.692100055396e-30,3.031658798842e-07,3.167437062223e+02,4.252570975857e-07,1.449730351247e-08,3.167437069653e+02,1.000000000000e+00
0,4.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.300082141001e-37,1.221505631969e-24,2.570000000000e-30,6.320145615135e-30,1.407260275200e-12,4.026008252411e+02,1.243659323667e-07,1.609688310710e-08,4.026008253816e+02,1.000000000000e+00
0,4.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.325251718904e-41,1.552609146800e-24,1.757073389936e-30,7.017487576590e-30,1.434504820764e-16,5.117305294542e+02,8.502726473778e-08,1.787295485018e-08,5.117305295571e+02,1.000000000000e+00
0,4.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.947870380740e-41,1.973462176222e-24,2.518502397335e-30,7.791771991192e-30,2.108451859776e-16,6.504411276830e+02,1.218738905885e-07,1.984499259622e-08,6.504411278247e+02,1.000000000000e+00
