altitude_km,longueur_onde_um,nombre_onde_cm_1,pression_Pa,epaisseur_couche_m,temperature_K,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,emissivite
0,5.5,1818.18181818,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.010076888105e-30,4.865762238952e-27,1.066188722364e-27,7.037156114406e-26,2.175786641105e-05,1.603725632989e+00,5.159437919677e-05,1.792304897355e-04,7.989050743971e-01
0,5.6,1785.71428571,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.000482555675e-32,4.489661782383e-26,4.609421101350e-29,1.689286465032e-26,3.247840866257e-07,1.479765210519e+01,2.230564019223e-06,4.302471559659e-05,9.999996255089e-01
0,5.7,1754.38596491,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.369158700336e-33,2.297563601540e-26,5.802356565860e-28,4.936305068040e-27,5.811789510786e-08,7.572629857898e+00,2.807842351118e-05,1.257235679364e-05,9.994856829052e-01
0,5.8,1724.13793103,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.937443651432e-33,7.202093659822e-26,4.586519328635e-28,7.934812165197e-26,3.179605065659e-08,2.373766256186e+01,2.219481527718e-05,2.020930397459e-04,9.999999999509e-01
0,5.9,1694.91525424,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,6.454506930098e-33,1.239418822587e-24,1.282282403974e-28,8.722057522039e-26,6.986613316400e-08,4.085049038935e+02,6.205145787070e-06,2.221435215819e-04,1.000000000000e+00
0,6.0,1666.66666667,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,9.455388475976e-26,1.369475217784e-26,4.911780013651e-27,0.000000000000e+00,3.116438519622e+01,6.627084136686e-04,1.250989352811e-05,1.000000000000e+00
0,6.1,1639.34426230,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.118926002584e-35,1.127799377301e-25,1.312713226564e-25,3.004813986487e-28,2.293609223206e-10,3.717158137667e+01,6.352404838591e-03,7.653010301412e-07,1.000000000000e+00
0,6.2,1612.90322581,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,8.630040648342e-34,6.602775407538e-26,1.026827759688e-27,9.855968508463e-32,9.341496967588e-09,2.176234606198e+01,4.968964658119e-05,2.510232875142e-10,9.999999996462e-01
0,6.3,1587.30158730,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,7.233807892447e-34,2.266165760003e-27,5.948990241478e-27,0.000000000000e+00,7.830159467950e-09,7.469144482287e-01,2.878800459229e-04,0.000000000000e+00,5.263100740956e-01
0,6.4,1562.50000000,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.698735119645e-34,2.616899988571e-25,6.990964907896e-28,0.000000000000e+00,4.003657029207e-09,8.625143162655e+01,3.383026727290e-05,0.000000000000e+00,1.000000000000e+00
0,6.5,1538.46153846,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,3.743246708467e-24,9.475534365396e-26,1.610507922198e-30,0.000000000000e+00,1.233751342989e+03,4.585345003990e-03,4.101829189600e-09,1.000000000000e+00
0,6.6,1515.15151515,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,1.642361299425e-24,5.506836764557e-29,1.347658884729e-29,0.000000000000e+00,5.413122929502e+02,2.664836142472e-06,3.432374640827e-08,1.000000000000e+00
0,6.7,1492.53731343,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,9.822021277129e-26,4.423690988205e-26,7.291030930170e-29,0.000000000000e+00,3.237278460464e+01,2.140686592414e-03,1.856964692904e-07,1.000000000000e+00
0,6.8,1470.58823529,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.568752887547e-35,2.118636137670e-25,4.361070491417e-27,7.234332207547e-29,2.780519615990e-10,6.982895822076e+01,2.110383648957e-04,1.842524001725e-07,1.000000000000e+00
0,6.9,1449.27536232,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.524560291587e-35,7.293231467717e-26,1.760354168778e-25,3.075372599950e-28,1.650244294446e-10,2.403804723229e+01,8.518602626293e-03,7.832717197783e-07,9.999999999640e-01
0,7.0,1428.57142857,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.991501849232e-35,9.556637096277e-26,7.776460152640e-27,1.895182580153e-27,4.320559304421e-10,3.149809448925e+01,3.763138978193e-04,4.826871771163e-06,1.000000000000e+00
0,7.1,1408.45070423,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,3.251878076596e-26,2.348426882353e-27,1.491163650643e-27,0.000000000000e+00,1.071799231176e+01,1.136436960385e-04,3.797869295997e-06,9.999778596706e-01
0,7.2,1388.88888889,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,5.410814857749e-26,8.895148593590e-27,1.158242036276e-27,0.000000000000e+00,1.783371660305e+01,4.304488126001e-04,2.949945745397e-06,9.999999820226e-01
0,7.3,1369.86301370,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,1.070277745547e-25,2.141619288852e-25,6.413832446514e-28,0.000000000000e+00,3.527570338746e+01,1.036359842928e-02,1.633549564314e-06,1.000000000000e+00
0,7.4,1351.35135135,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,4.287803971664e-27,1.133106512879e-23,3.047150262276e-28,0.000000000000e+00,1.413234104113e+00,5.483262565951e-01,7.760837260484e-07,8.593613067851e-01
0,7.5,1333.33333333,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,3.213865405944e-27,8.970861900890e-25,1.027194701364e-28,0.000000000000e+00,1.059270486180e+00,4.341126865514e-02,2.616179126711e-07,6.680204858884e-01
0,7.6,1315.78947368,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,1.047870517358e-26,8.857547928370e-26,7.556109947280e-30,0.000000000000e+00,3.453717477782e+00,4.286292632664e-03,1.924478104974e-08,9.685074349025e-01
0,7.7,1298.70129870,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,0.000000000000e+00,1.779949840716e-28,5.517877933824e-25,2.852986197117e-30,0.000000000000e+00,5.866606391369e-02,2.670179120334e-02,7.266317600528e-09,8.182553957644e-02
